数据结构,操作系统,高等数学,软件工程,数据库原理,计算机网络,C语言程序设计,计算机导论
73,66.0,77,86,80,72,84.0,69.0
66,71.0,70,73,76,75,77.0,64.0
83,66.0,61,85,75,73,80.0,64.0
88,72.0,82,77,75,79,94.0,77.0
83,78.0,86,60,65,86,77.0,73.0
76,78.0,71,67,64,84,69.0,79.0
76,73.0,61,83,78,81,60.0,74.0
62,52.0,77,79,66,61,60.0,60.0
71,68.0,71,78,68,77,76.0,60.0
69,60.0,54,69,72,72,72.0,75.0
70,78.0,66,68,77,70,86.0,75.0
76,73.0,44,76,66,69,54.0,67.0
89,65.0,75,88,83,80,84.0,69.0
86,64.0,81,83,79,67,78.0,81.0
62,56.0,66,83,78,77,79.0,64.0
62,55.0,73,72,68,73,68.0,64.0
76,71.0,85,83,66,76,61.0,69.0
76,42.0,60,80,63,60,62.0,73.0
61,60.0,78,68,63,64,67.0,69.0
78,60.0,30,62,69,63,60.0,77.0
80,78.0,91,86,77,83,73.0,64.0
79,70.0,94,78,73,83,84.0,64.0
75,68.0,95,71,66,60,75.0,73.0
62,61.0,64,71,76,67,83.0,73.0
61,39.0,36,72,48,36,46.0,69.0
73,71.0,67,74,62,75,67.0,61.0
84,80.0,71,86,83,81,88.0,71.0
86,85.0,83,87,80,82,86.0,78.0
79,67.0,69,64,67,79,67.0,74.0
69,63.0,61,71,71,84,77.0,74.0
79,74.0,81,72,73,77,74.0,76.0
75,85.0,67,76,75,92,87.0,79.0
62,78.0,77,73,80,82,75.0,75.0
98,66.0,89,64,71,77,88.0,62.0
76,56.0,60,86,92,80,90.0,71.0
76,61.0,92,72,89,87,84.0,76.0
78,62.0,84,60,84,87,77.0,79.0
68,63.0,65,62,80,86,87.0,70.0
70,62.0,86,75,86,79,86.0,76.0
73,63.0,65,64,86,77,78.0,78.0
78,80.0,93,69,78,85,84.0,84.0
82,67.0,76,61,91,81,87.0,81.0
78,69.0,78,62,76,81,71.0,71.0
82,77.0,76,60,90,84,90.0,76.0
69,74.0,62,71,87,83,70.0,80.0
72,73.0,81,64,79,76,72.0,84.0
80,75.0,82,74,84,83,90.0,77.0
75,68.0,73,73,73,71,78.0,60.0
91,85.0,80,68,95,92,82.0,80.0
69,71.0,63,68,66,82,62.0,63.0
76,92.0,75,73,86,92,67.0,66.0
70,82.0,72,61,82,85,68.0,71.0
69,68.0,0,68,71,74,70.0,72.0
77,68.0,71,81,82,90,64.0,75.0
80,85.0,75,74,84,87,85.0,75.0
77,77.0,68,89,90,97,80.0,75.0
74,80.0,80,85,80,88,64.0,79.0
73,75.0,80,73,93,94,84.0,79.0
70,78.0,72,65,72,92,60.0,69.0
66,79.0,61,62,71,67,0.0,62.0
70,69.0,75,60,86,74,85.0,71.0
78,80.0,86,65,94,86,89.0,86.0
69,62.0,60,61,61,63,64.0,62.0
80,80.0,95,76,90,87,89.0,75.0
75,67.0,77,81,73,78,63.0,76.0
79,75.0,92,68,87,87,91.0,84.0
73,70.0,91,63,70,79,74.0,77.0
70,68.0,78,60,71,73,84.0,69.0
68,90.0,77,62,74,87,69.0,78.0
60,77.0,89,73,61,86,85.0,70.0
78,87.0,97,77,86,90,88.0,65.0
55,72.0,70,66,80,91,69.0,85.0
72,62.0,60,71,63,66,66.0,84.0
59,63.0,62,72,72,68,75.0,67.0
78,75.0,64,78,60,70,46.0,66.0
67,84.0,64,77,72,82,72.0,71.0
73,64.0,76,72,78,78,76.0,73.0
82,71.0,66,76,82,85,79.0,70.0
73,79.0,81,76,75,86,92.0,68.0
77,78.0,70,72,68,91,76.0,64.0
69,68.0,45,73,54,68,44.0,52.0
