数据结构,操作系统,高等数学,软件工程,数据库原理,计算机网络,C语言程序设计,计算机导论
66,93.0,74,89,86,65,75.0,66.0
74,74.0,81,68,79,79,77.0,69.0
79,60.0,70,60,60,72,91.0,89.0
66,81.0,76,79,80,62,73.0,74.0
60,87.0,46,74,82,60,81.0,77.0
83,80.0,81,62,68,75,75.0,72.0
73,80.0,77,53,57,62,80.0,72.0
68,78.0,48,67,74,62,76.0,67.0
68,84.0,63,63,76,69,72.0,64.0
82,70.0,80,63,66,75,71.0,72.0
80,81.0,71,68,82,68,71.0,66.0
80,65.0,46,47,53,70,80.0,71.0
69,83.0,77,71,90,46,68.0,78.0
81,80.0,68,76,85,69,80.0,64.0
80,21.0,85,61,35,77,92.0,92.0
60,81.0,68,71,88,26,82.0,76.0
78,65.0,61,67,54,66,62.0,69.0
48,69.0,68,65,67,72,64.0,73.0
45,68.0,68,61,70,36,65.0,66.0
48,65.0,34,70,64,60,64.0,72.0
76,80.0,60,75,74,61,65.0,70.0
83,66.0,80,65,61,78,79.0,77.0
83,60.0,81,55,55,67,87.0,80.0
79,69.0,80,65,73,60,66.0,73.0
70,90.0,28,66,76,60,64.0,72.0
86,78.0,61,70,80,66,68.0,61.0
75,70.0,50,56,60,69,73.0,81.0
66,80.0,87,78,80,60,77.0,82.0
75,76.0,60,82,82,68,75.0,76.0
79,91.0,74,75,82,69,75.0,82.0
83,84.0,76,73,72,85,80.0,78.0
65,87.0,85,60,81,74,80.0,84.0
75,82.0,71,80,79,72,73.0,81.0
70,82.0,71,64,74,75,67.0,80.0
78,83.0,86,75,77,70,66.0,80.0
65,90.0,91,72,74,73,72.0,73.0
78,77.0,68,67,60,71,62.0,69.0
66,82.0,77,62,60,60,66.0,86.0
60,75.0,61,47,80,41,46.0,66.0
46,93.0,71,86,61,60,88.0,99.0
75,63.0,51,71,87,80,47.0,54.0
77,73.0,51,89,86,86,74.0,68.0
82,81.0,47,87,71,83,79.0,77.0
63,94.0,72,89,75,76,91.0,65.0
90,88.0,49,91,82,83,69.0,69.0
80,68.0,75,70,78,82,71.0,81.0
86,64.0,47,74,79,91,78.0,74.0
59,71.0,76,73,60,60,76.0,70.0
72,78.0,72,74,71,68,83.0,64.0
54,57.0,72,72,61,63,59.0,68.0
79,89.0,54,81,72,84,62.0,68.0
66,65.0,75,79,73,79,72.0,74.0
87,77.0,63,63,63,79,65.0,64.0
52,78.0,62,79,60,66,68.0,70.0
67,74.0,46,88,54,71,80.0,69.0
65,55.0,62,72,62,88,61.0,70.0
84,69.0,54,89,60,82,61.0,78.0
62,69.0,79,74,50,62,56.0,67.0
48,81.0,72,81,38,45,54.5,61.0
45,83.0,45,94,61,64,48.0,62.0
71,75.0,50,83,75,83,67.0,68.0
91,87.0,53,89,80,99,68.0,72.0
76,97.0,76,92,71,78,66.0,69.0
90,87.0,66,88,80,90,58.0,74.0
85,90.0,76,92,90,97,67.0,76.0
91,71.0,76,75,71,94,91.0,72.0
89,89.0,66,89,82,93,66.0,61.0
63,75.0,70,88,73,72,62.0,66.0
93,67.0,45,72,85,87,58.0,69.0
48,62.0,62,67,60,73,66.0,71.0
81,62.0,41,81,66,83,56.0,63.0
72,72.0,51,84,57,83,57.0,76.0
77,84.0,37,87,64,78,49.5,70.0
53,75.0,42,89,79,72,76.0,81.0
90,80.0,62,89,86,96,62.0,71.0
88,67.0,82,74,71,89,67.0,74.0
88,63.0,71,88,76,87,60.0,78.0
65,72.0,75,81,61,75,65.0,73.0
90,66.0,37,76,76,91,73.0,63.0
75,80.0,78,71,68,89,53.0,66.0
67,84.0,51,76,65,85,50.5,62.0
77,74.0,50,76,64,88,63.0,61.0
74,64.0,79,73,73,85,55.0,63.0
83,74.0,74,78,72,87,74.0,72.0
77,61.0,65,71,62,83,61.0,77.0
77,85.0,53,91,68,65,79.0,64.0
57,67.0,95,80,53,75,70.0,65.0
88,61.0,84,69,84,96,60.0,73.0
53,80.0,87,61,76,63,57.0,78.0
68,65.0,53,82,71,78,60.0,73.0
71,65.0,74,82,62,77,89.0,84.0
67,80.0,46,75,66,81,71.0,64.0
60,83.0,62,70,68,81,58.0,64.0
86,87.0,81,79,68,83,62.5,77.0
55,86.0,52,79,65,83,61.0,63.0
83,82.0,62,81,75,84,52.0,56.0
88,93.0,71,97,82,93,76.0,66.0
77,78.0,82,79,69,83,84.0,60.0
93,79.0,64,74,86,99,63.0,62.0
69,79.0,89,89,69,92,62.0,79.0
78,82.0,51,93,78,89,64.0,71.0
76,72.0,57,71,64,95,60.0,61.0
50,40.0,63,71,50,72,61.0,69.0
90,78.0,78,68,56,86,89.0,88.0
60,60.0,66,79,73,78,70.0,79.0
74,74.0,70,81,60,92,66.0,69.0
79,83.0,85,70,40,80,90.0,77.0
65,79.0,70,79,75,74,78.0,66.0
65,50.0,60,78,64,83,78.0,76.0
62,79.0,46,67,60,83,75.0,65.0
70,85.0,71,64,80,82,83.0,65.0
65,83.0,78,76,54,85,78.0,66.0
90,90.0,80,68,72,84,84.0,65.0
66,76.0,75,77,74,76,80.0,81.0
65,60.0,69,70,74,81,85.0,78.0
61,60.0,35,74,56,87,71.0,68.0
67,63.0,78,82,61,88,78.0,78.0
79,77.0,87,81,60,85,81.0,67.0
77,78.0,83,86,77,88,90.0,68.0
72,83.0,70,80,78,88,80.0,77.0
84,90.0,78,79,85,94,88.0,82.0
85,98.0,81,69,89,82,94.0,80.0
72,85.0,74,82,86,87,92.0,93.0
84,87.0,70,76,71,76,81.0,80.0
63,81.0,72,81,76,90,89.0,86.0
72,93.0,70,80,40,82,71.0,64.0
66,78.0,89,74,77,76,90.0,87.0
65,77.0,73,73,73,88,75.0,62.0
79,84.0,61,82,73,83,68.0,63.0
84,83.0,92,49,78,51,92.0,76.0
42,67.0,89,81,82,92,92.0,90.0
77,94.0,29,71,43,70,61.0,63.0
68,81.0,86,79,90,79,94.0,88.0
50,70.0,60,65,65,82,72.0,66.0
76,73.0,65,74,74,88,86.0,71.0
80,81.0,60,51,70,62,78.0,72.0
38,29.0,81,61,51,66,79.0,70.0
39,39.0,39,60,54,78,44.0,63.0
62,63.0,44,73,66,80,60.0,63.5
62,43.0,82,73,75,94,90.0,63.0
85,95.0,73,55,75,78,85.0,67.0
66,61.0,66,78,87,82,89.0,79.0
47,72.0,39,68,52,75,41.0,60.0
48,61.0,63,65,71,80,73.0,73.0
65,60.0,49,90,71,86,77.0,60.0
75,93.0,55,74,70,94,75.0,89.0
73,81.0,60,81,88,93,72.0,65.0
72,81.0,85,62,79,92,94.0,81.0
77,77.0,61,78,80,84,88.0,77.0
79,91.0,72,70,74,72,90.0,98.0
60,77.0,71,74,77,70,83.0,90.0
65,66.0,72,77,72,82,85.0,91.0
72,71.0,63,66,72,83,78.0,81.0
72,75.0,53,63,70,93,69.0,63.0
87,92.0,80,78,72,81,78.0,61.0
72,77.0,70,86,93,83,63.0,64.0
79,80.0,80,68,73,78,85.0,83.0
63,71.0,92,71,85,82,95.0,90.0
83,82.0,98,79,56,91,90.0,90.0
69,81.0,70,79,79,80,83.0,81.0
67,70.0,68,69,84,86,77.0,86.0
62,82.0,83,74,84,80,75.0,80.0
78,64.0,80,92,60,66,62.0,34.0
75,60.0,78,77,71,62,66.0,24.0
70,65.0,63,87,66,65,61.0,52.0
74,80.0,72,89,75,67,72.0,49.0
71,68.0,63,84,69,64,71.0,50.0
74,73.0,73,93,72,90,71.0,38.0
64,61.0,56,89,62,60,55.0,67.0
71,53.0,56,92,68,70,71.0,53.0
65,71.0,63,82,67,70,65.0,45.0
80,52.0,61,91,82,66,66.0,68.0
78,73.6,57,85,72,69,69.0,43.0
68,0.0,66,82,67,66,57.0,68.0
78,70.0,85,75,62,60,60.0,78.0
79,69.0,70,85,75,70,80.0,29.0
74,74.0,63,70,67,71,67.0,47.0
84,81.0,61,93,78,78,87.0,82.0
82,0.0,69,92,63,67,70.0,71.0
81,62.0,64,85,90,90,90.0,48.0
82,71.0,84,82,74,70,76.0,78.0
72,83.0,78,87,80,72,74.0,84.0
90,75.0,75,90,82,90,90.0,47.0
79,69.0,70,88,75,60,77.0,91.0
73,74.0,71,84,80,71,76.0,47.0
85,81.0,63,92,78,75,81.0,38.0
80,61.0,76,75,79,82,80.0,85.0
82,65.0,56,78,77,71,71.0,36.0
84,77.0,63,76,74,77,76.0,68.0
80,80.0,70,80,72,70,77.0,36.0
76,82.0,71,84,77,69,77.0,67.0
90,82.0,78,84,80,82,90.0,80.0
65,75.0,44,0,52,31,41.0,85.0
78,85.0,74,91,79,84,83.0,71.0
71,76.0,78,78,79,85,89.0,86.0
81,77.0,57,88,81,74,72.0,48.0
79,67.0,72,91,77,76,77.0,36.0
88,75.0,63,92,77,75,87.0,60.0
84,80.0,76,87,80,72,81.0,73.0
78,66.0,45,79,69,63,78.0,88.0
64,75.0,60,71,67,88,82.0,78.0
56,43.0,65,62,71,75,44.0,47.0
72,65.0,81,77,76,73,74.0,69.0
78,66.0,67,68,67,73,81.0,69.0
82,73.0,64,77,78,75,81.0,63.0
64,66.0,50,73,74,77,77.0,69.0
74,72.0,62,72,81,75,77.0,80.0
77,78.0,60,74,64,81,59.0,80.0
70,35.0,32,60,34,45,53.0,54.0
65,70.0,77,63,60,65,82.0,68.0
67,66.0,26,69,66,69,70.0,65.0
73,67.0,77,67,81,77,69.0,75.0
61,28.0,69,61,55,74,62.0,63.0
72,63.0,48,68,67,69,49.0,69.0
83,72.0,46,73,83,64,78.0,63.0
72,66.0,71,78,71,68,63.0,71.0
71,73.0,30,68,70,75,75.0,72.0
86,80.0,89,76,78,83,79.0,77.0
77,74.0,67,82,75,74,82.0,66.0
88,73.0,75,70,85,85,81.0,68.0
59,65.0,43,67,63,60,58.0,66.0
63,68.0,49,69,70,62,80.0,60.0
83,78.0,71,73,80,86,84.0,70.0
63,69.0,72,66,30,62,66.0,63.0
73,63.0,72,20,73,63,70.0,60.0
74,36.0,70,72,75,73,77.0,63.0
80,77.0,72,78,82,73,72.0,61.0
76,84.0,73,75,70,73,79.0,77.0
77,63.0,72,68,66,68,75.0,75.0
98,71.0,79,83,88,84,78.0,61.0
95,74.0,71,82,82,61,84.0,54.0
76,88.0,76,79,63,78,85.0,70.0
89,86.0,65,86,85,78,82.0,80.0
94,75.0,80,79,82,84,83.0,90.0
97,90.0,78,79,84,85,80.0,76.0
93,88.0,84,81,86,80,80.0,72.0
96,94.0,83,80,90,89,91.0,82.0
85,74.0,77,74,81,79,77.0,68.0
90,86.0,91,78,82,89,89.0,81.0
87,66.0,80,71,87,80,80.0,68.0
76,69.0,74,77,80,80,77.0,61.0
80,61.0,70,75,75,88,87.0,60.0
73,78.0,73,70,80,72,77.0,70.0
96,86.0,85,80,84,87,83.0,90.0
71,78.0,70,79,83,64,77.0,73.0
78,82.0,60,75,72,80,82.0,75.0
73,81.0,61,70,76,66,80.0,75.0
67,82.0,63,62,68,64,77.0,64.0
96,69.0,87,85,88,90,89.0,62.0
66,64.0,63,77,71,62,72.0,44.0
80,72.0,71,85,83,88,79.0,52.0
81,82.0,54,74,61,54,65.0,69.0
84,79.0,65,71,71,84,71.0,70.0
89,79.0,54,80,89,80,62.0,63.0
93,84.0,68,78,94,73,52.0,65.0
79,67.0,80,77,73,56,74.0,61.0
71,78.0,86,79,76,62,75.0,70.0
79,85.0,68,73,75,74,41.0,61.0
92,63.0,81,77,87,53,79.0,73.0
72,73.0,52,79,67,45,85.0,63.0
83,71.0,67,78,82,60,84.0,60.0
62,71.0,47,67,70,72,43.0,52.0
82,71.0,76,73,77,75,70.0,61.0
73,83.0,60,44,63,73,90.0,60.0
63,71.0,49,68,80,60,58.0,49.0
71,74.0,63,78,70,66,70.0,70.0
71,87.0,39,81,77,66,55.0,57.0
76,67.0,41,64,71,66,46.0,48.0
70,64.0,48,75,73,66,63.0,63.0
77,74.0,60,73,73,62,63.0,66.0
77,68.0,73,73,66,54,68.0,61.0
91,86.0,53,76,79,75,60.0,61.0
86,89.0,69,82,83,60,61.0,78.0
89,86.0,79,83,74,73,77.0,75.0
93,88.0,78,87,92,75,80.0,78.0
83,86.0,78,83,81,75,81.0,71.0
95,88.0,81,85,90,83,93.0,84.0
93,84.0,74,80,86,91,90.0,72.0
76,61.0,33,83,63,65,54.0,67.0
50,55.0,88,69,99,67,99.0,88.0
50,44.0,98,67,79,50,60.0,98.0
60,0.0,77,74,89,31,40.0,70.0
72,70.0,94,65,81,69,68.0,56.0
87,73.0,83,73,77,72,85.0,74.0
83,91.0,74,62,73,60,77.0,85.0
76,58.0,71,66,75,63,77.0,96.0
75,81.0,74,70,82,88,60.0,80.0
75,74.0,49,45,64,67,63.0,70.0
77,87.0,63,92,91,67,63.0,82.0
60,86.0,72,40,79,63,50.0,71.0
89,61.0,87,39,61,76,68.0,76.0
81,82.0,70,66,75,39,52.0,83.0
40,89.0,66,79,85,60,36.0,69.0
72,81.0,80,49,74,71,74.0,77.0
84,79.0,87,62,78,90,85.0,94.0
84,76.0,80,70,75,61,86.0,83.0
72,72.0,62,65,81,53,60.0,93.0
68,79.0,83,66,78,67,68.0,69.0
70,62.0,86,60,69,83,68.0,80.0
80,74.0,87,60,75,73,80.0,79.0
60,76.0,71,81,87,60,74.0,82.0
63,89.0,72,81,90,68,78.0,85.0
87,82.0,77,64,80,75,86.0,73.0
96,76.0,91,72,79,76,85.0,87.0
67,60.0,78,61,67,72,50.0,67.0
70,82.0,74,68,83,50,45.0,77.0
72,68.0,81,60,84,65,60.0,77.0
78,82.0,58,84,89,60,69.0,77.0
60,82.0,50,60,76,60,46.0,61.0
92,72.0,71,67,72,79,77.0,83.0
76,86.0,60,62,80,60,69.0,62.0
93,76.0,63,72,78,90,85.0,64.0
39,73.0,79,71,76,63,68.0,66.0
81,91.0,85,78,85,66,70.0,69.0
80,75.0,62,71,82,61,72.0,83.0
90,91.0,79,80,88,78,73.0,87.0
60,87.0,55,84,91,63,36.0,85.0
82,76.0,93,72,82,71,86.0,91.0
89,76.0,88,73,86,83,91.0,88.0
94,83.0,92,60,82,73,80.0,85.0
90,67.0,85,74,95,90,79.0,78.0
67,83.0,73,73,85,70,69.0,71.0
84,77.0,64,65,83,72,76.0,81.0
87,86.0,70,69,89,76,70.0,85.0
80,85.0,93,60,73,74,81.0,85.0
91,85.0,80,73,89,83,85.0,95.0
85,85.0,75,74,91,67,71.0,92.0
95,74.0,87,73,83,78,88.0,87.0
89,76.0,83,71,84,69,85.0,87.0
91,79.0,82,64,88,76,72.0,84.0
69,83.0,80,67,85,62,68.0,86.0
68,81.0,57,65,89,70,65.0,76.0
75,97.0,85,90,91,60,52.0,77.0
72,85.0,87,69,81,69,63.0,94.0
84,84.0,86,74,81,83,85.0,90.0
61,84.0,62,62,80,60,53.0,76.0
86,80.0,77,60,80,60,87.0,67.0
87,77.0,70,71,83,67,68.0,70.0
75,74.0,39,68,85,60,70.0,68.0
74,79.0,60,50,78,70,81.0,80.0
60,80.0,49,61,79,65,71.0,80.0
74,85.0,70,71,82,60,73.0,78.0
60,86.0,60,73,87,62,78.0,64.0
78,79.0,71,77,77,64,78.0,71.0
90,67.0,65,65,77,71,73.0,62.0
75,72.0,53,62,69,62,70.0,92.0
60,84.0,74,65,82,61,37.0,94.0
64,80.0,60,72,79,50,67.0,91.0
82,77.0,50,68,78,65,68.0,78.0
71,73.0,95,70,83,62,47.0,80.0
72,74.0,60,71,74,64,63.0,73.0
85,83.0,68,70,93,70,63.0,80.0
74,85.0,77,77,88,69,61.0,83.0
79,56.0,83,60,81,65,65.0,78.0
72,80.0,79,78,83,75,72.0,93.0
77,79.0,69,71,83,65,72.0,78.0
84,93.0,75,85,90,69,71.0,68.0
82,87.0,81,74,79,60,71.0,77.0
87,93.0,90,73,88,78,80.0,68.0
81,91.0,87,80,88,65,70.0,92.0
88,86.0,85,76,85,73,77.0,82.0
90,83.0,85,74,83,69,79.0,77.0
78,86.0,87,72,82,74,81.0,71.0
90,84.0,71,79,85,74,72.0,73.0
86,95.0,85,79,93,75,68.0,81.0
91,87.0,87,81,85,74,70.0,89.0
89,89.0,73,75,85,68,85.0,79.0
90,90.0,82,66,79,69,65.0,78.0
78,98.0,71,82,91,68,70.0,80.0
69,83.0,67,78,84,67,48.0,73.0
88,70.0,90,80,77,81,70.0,70.0
74,85.0,82,88,80,75,69.0,80.0
