climate,date,max_temp,min_temp,site,wind
阴,2019年4月16日,25℃,15℃,德州,东南风 3级
晴,2019年4月17日,26℃,16℃,德州,东南风 4级
阴,2019年4月19日,17℃,10℃,德州,北风 微风
扬沙,2019年4月18日,20℃,11℃,德州,东南风 4级
阴,2019年4月20日,20℃,12℃,德州,西北风 2级
阴,2019年4月21日,20℃,12℃,德州,东南风 1级
阴,2019年4月23日,23℃,15℃,德州,西南风 微风
多云,2019年4月22日,24℃,16℃,德州,东南风 2级
阴,2019年4月24日,24℃,7℃,德州,东南风 6级
阴,2019年4月25日,11℃,7℃,德州,南风 微风
阴,2019年4月26日,18℃,8℃,德州,东北风 1级
阴,2019年4月27日,13℃,6℃,德州,东南风 1级
多云,2019年4月28日,17℃,9℃,德州,东南风 2级
晴,2019年4月29日,22℃,13℃,德州,东南风 1级
多云,2019年4月30日,25℃,11℃,德州,西北风 1级
阴,,31℃,14℃,德州,北风 3级
晴,2019年5月1日,28℃,12℃,德州,东北风 1级
晴,2019年5月2日,28℃,15℃,德州,东南风 1级
晴,2019年5月3日,27℃,17℃,德州,东南风 2级
阴,2019年5月4日,24℃,12℃,德州,东南风 3级
阴,2019年5月5日,22℃,7℃,德州,东南风 3级
多云,2019年5月6日,23℃,11℃,德州,西南风 微风
多云,2019年5月7日,25℃,16℃,德州,西北风 1级
阴,2019年5月8日,22℃,14℃,德州,西南风 2级
晴,2019年5月9日,28℃,17℃,德州,西南风 2级
阴,2019年5月10日,25℃,14℃,德州,东北风 2级
多云,2019年5月11日,29℃,17℃,德州,东南风 1级
阴,2019年5月12日,29℃,11℃,德州,西北风 2级
多云,2019年5月13日,23℃,14℃,德州,东南风 1级
多云,2019年5月14日,27℃,19℃,德州,东南风 1级
多云,2019年5月15日,28℃,20℃,德州,西南风 2级
多云,2019年5月16日,31℃,22℃,德州,东南风 2级
晴,2019年5月17日,31℃,18℃,德州,东北风 2级
阴,2019年5月18日,27℃,19℃,德州,东南风 2级
多云,2019年5月19日,27℃,15℃,德州,西北风 4级
晴,2019年5月20日,27℃,13℃,德州,西南风 1级
晴,2019年5月21日,31℃,17℃,德州,东南风 3级
晴,2019年5月22日,35℃,23℃,德州,东南风 2级
晴,2019年5月23日,39℃,26℃,德州,西北风 1级
阴,2019年5月24日,31℃,24℃,德州,东南风 3级
晴,2019年5月25日,33℃,23℃,德州,东南风 2级
多云,2019年5月26日,31℃,17℃,德州,东南风 2级
阴,2019年5月27日,27℃,18℃,德州,北风 1级
阴,2019年5月28日,31℃,20℃,德州,东南风 2级
晴,2019年5月29日,31℃,21℃,德州,东南风 1级
多云,2019年5月30日,28℃,17℃,德州,东南风 2级
晴,2019年5月31日,30℃,21℃,德州,东南风 2级
阴,2019年6月1日,31℃,23℃,德州,东南风 2级
晴,2019年6月2日,34℃,25℃,德州,东南风 2级
晴,2019年6月3日,35℃,23℃,德州,东北风 3级
阴,2019年6月4日,33℃,21℃,德州,东南风 2级
阴,2019年6月5日,28℃,19℃,德州,东南风 3级
晴,2019年6月7日,30℃,23℃,德州,西南风 3级
阴,2019年6月6日,26℃,18℃,德州,西北风 1级
多云,2019年6月8日,35℃,20℃,德州,东南风 2级
晴,2019年6月9日,30℃,19℃,德州,东南风 3级
晴,2019年6月11日,36℃,24℃,德州,东南风 1级
晴,2019年6月10日,32℃,19℃,德州,东南风 1级
晴,2019年6月12日,37℃,25℃,德州,东北风 1级
多云,2019年6月13日,36℃,24℃,德州,西北风 2级
多云,2019年6月14日,36℃,24℃,德州,东北风 微风
阴,2019年6月15日,35℃,24℃,德州,东南风 4级
多云,2019年6月16日,31℃,19℃,德州,东南风 3级
多云,2019年6月17日,34℃,23℃,德州,东北风 2级
晴,2019年6月18日,37℃,27℃,德州,西南风 2级
阴,2019年6月19日,37℃,28℃,德州,西北风 2级
阴,2019年6月20日,32℃,25℃,德州,西南风 1级
多云,2019年6月21日,33℃,23℃,德州,东北风 3级
多云,2019年6月22日,34℃,23℃,德州,东南风 微风
阴,2019年6月23日,37℃,25℃,德州,东南风 3级
多云,2019年6月24日,37℃,26℃,德州,东南风 微风
阴,2019年6月25日,34℃,24℃,德州,西南风 1级
多云,2019年6月26日,34℃,25℃,德州,东南风 1级
多云,2019年6月27日,36℃,27℃,德州,东北风 微风
阴,2019年6月28日,28℃,21℃,德州,西南风 3级
晴,2019年6月29日,36℃,24℃,德州,西北风 3级
多云,2019年6月30日,34℃,21℃,德州,东北风 1级
阴,,31℃,14℃,德州,北风 3级
晴,2019年7月1日,36℃,24℃,德州,东南风 4级
晴,2019年7月2日,38℃,24℃,德州,东北风 2级
晴,2019年7月3日,36℃,24℃,德州,东南风 1级
阴,2019年7月4日,36℃,27℃,德州,东南风 2级
小雨,2019年7月6日,25℃,20℃,德州,西北风 1级
晴,2019年7月5日,38℃,22℃,德州,西北风 4级
雷阵雨,2019年7月7日,28℃,20℃,德州,东北风 2级
多云,2019年7月8日,29℃,21℃,德州,东南风 2级
阴,2019年7月9日,30℃,21℃,德州,东北风 3级
阴,2019年7月10日,28℃,21℃,德州,东北风 2级
多云,2019年7月11日,29℃,21℃,德州,西北风 1级
多云,2019年7月12日,32℃,22℃,德州,东南风 2级
多云,2019年7月13日,34℃,23℃,德州,东北风 1级
阴,2019年7月14日,31℃,24℃,德州,东南风 3级
多云,2019年7月15日,34℃,25℃,德州,东南风 3级
阴,2019年7月16日,33℃,26℃,德州,东南风 2级
阴,2019年7月17日,31℃,25℃,德州,东北风 2级
晴,2019年7月18日,33℃,24℃,德州,东南风 2级
多云,2019年7月19日,33℃,25℃,德州,东北风 2级
阴,2019年7月20日,33℃,24℃,德州,南风 微风
多云,2019年7月21日,35℃,26℃,德州,东南风 1级
阴,2019年7月22日,35℃,26℃,德州,东南风 2级
多云,2019年7月23日,33℃,25℃,德州,东南风 2级
